Kota,Usia (tahun),Jenis Kelamin,Tinggi Badan (dalam cm),Berat Badan (dalam kg),Kecepatan Bersepeda,Jenis Permukaan Jalan (yang paling sering dilalui),Jenis Sepeda (yang paling sering digunakan),Tujuan Bersepeda (secara singkat)
Bandung,48,Pria,175,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Sehat dan rekreasi
Bandung,40,Pria,169,72,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Olahraga
bekasi,50,Pria,170,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),olahraga
Bandung,56,Pria,172,83,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Jaga kesehatan
Surabaya,46,Pria,171,65,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),olah raga
Pekalongan ,39,Pria,170,69,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Menjaga stamina tubuh 
Pekalongan,47,Wanita,168,75,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),Olah raga
Batang,60,Pria,161,62,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Balap (Road Bike),"Refreshing, olah raga"
Pekalongan,50 tahun,Pria,160 cm,60 kg,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Utk kesehatan 
Pekalongan,17 th,Pria,167 cm,65 kg,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Pekalongan,16 thn,Pria,168 cm,65 kg,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Pekalongan,17 thn,Pria,167 cm,65 kg,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Kesehatan dan preatasi
Pekalongan,19 thn,Pria,160 cm,60 kg,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Kesehatan dan preatasi
Pekalongan,17 th,Wanita,160 cm,65 kg,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Kesehatan dan berprestasi
SURABAYA,58,Pria,176,75,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Sehat n kumpul2 dgn teman2
Pekalongan,55,Pria,170,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Biar sehat
Pekalongan,57 th,Pria,170 ccm,66 kg,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),suka dan refresing
Surabaya,40,Pria,160,58,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Oalah raga
Surabaya,47,Pria,165,64,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),olah raga
Jember,37,Pria,180,99,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Sehat dan kurus
Surabaya,41,Wanita,162cm,67 kg,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Olahraga dan fun
Surabaya,44 thn,Pria,170,73,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Supaya sehat dan waktu bersama putra saya.
Surabaya,40,Wanita,154,56,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),Supaya sehat & ada komunitas
Surabaya,23,Pria,172,68,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),Balapan bersama sesama group
Surabaya,39,Pria,166,85,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,57,Pria,175,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,49,Wanita,161,57,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,78,Pria,173,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,23,Pria,164,95,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,53,Pria,170,64,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,44,Wanita,168,58,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,56,Wanita,168,55,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,20,Pria,154,58,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,47,Pria,170,91,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,27,Pria,163,63,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,44,Pria,170,76,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,38,Wanita,165,54,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,54,Pria,161,87,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,35,Pria,162,76,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,55,Wanita,154,52,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,41,Wanita,153,54,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,39,Pria,168,64,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,32,Wanita,154,53,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,21,Pria,161,65,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,30,Wanita,154,60,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,29,Pria,175,92,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,49,Pria,161,68,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,41,Pria,165,78,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,27,Pria,178,73,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,22,Pria,177,77,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,41,Pria,168,70,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,30,Pria,167,68,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,39,Pria,170,72,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,22,Pria,173,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,53,Pria,180,88,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,25,Pria,166,87,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,59,Wanita,165,55,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,59,Pria,174,81,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,37,Pria,171,65,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,34,Pria,163,78,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,48,Pria,180,63,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,40,Pria,180,78,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,27,Pria,180,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,22,Pria,165,69,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,51,Pria,180,69,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,24,Pria,163,61,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,26,Wanita,159,53,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,56,Pria,178,99,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,49,Pria,174,82,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,22,Pria,173,65,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,28,Pria,162,83,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,32,Pria,176,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,46,Pria,172,83,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,28,Pria,178,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,31,Pria,185,91,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,52,Pria,174,88,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,56,Pria,179,80,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,59,Pria,176,83,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,60,Pria,188,98,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,52,Wanita,155,56,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,58,Pria,162,63,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,54,Pria,172,74,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,21,Wanita,154,41,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,56,Pria,180,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,48,Pria,172,75,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,11,Pria,166,44,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,48,Pria,172,74,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,38,Pria,177,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,58,Wanita,148,56,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,53,Pria,174,83,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,54,Pria,165,73,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,42,Pria,170,63,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,56,Wanita,164,53,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,14,Pria,174,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,35,Pria,162,61,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,34,Pria,174,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,27,Pria,162,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,46,Pria,184,96,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,22,Pria,188,77,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,39,Pria,161,84,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,27,Pria,188,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,38,Pria,188,77,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,40,Pria,162,71,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,31,Pria,179,77,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Balap (Road Bike),
Surabaya,18,Pria,172,64,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga
Pekalongan,35,Pria,170,73,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olah Raga
Indramayu,53,Wanita,157,90,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),jalan-jalan santai
Pekalongan,53,Pria,165,65,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Jaga stamina tubuh
Kota Cirebon,42,Pria,165,60,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),Olah Raga
Pekalongan,42 tahun,Pria,169,80,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olah raga
Bogor,46,Pria,168,90,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),"Santai, olah raga"
Pati,40,Pria,167,68,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Kesehatan dan pertemanan
Semarang,46,Pria,178,94,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),"Olah raga, jaga kesehatan."
Pekalongan,28,Pria,168,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Berolah raga
Pekalongan,53,Pria,169,74,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),"Sehat,refresing,byk saudara"
Kabupaten Pekalongan,40,Pria,165,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Untuk menjaga kesehatan dan refresing
Kota Pekalongan,41,Pria,165,65,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),cari sehat
Pekalongan,34,Pria,181,88,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Hiburan dan bersilaturahmi 
Pekalongan,48,Pria,165,69,Cepat (26 km/jam atau lebih),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),Menjaga kebugaran tubuh
Pekalongan,58 tahun,Pria,172 cm,82kg,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Menjaga kebugaran 
Semarang,45,Pria,172,99,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Iseng
Kabupaten Pekalongan,47,Pria,170,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Untuk menjaga stamina agar tubuh sehat
Pekalongan,40 Tahun,Pria,158,63 kg,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga dan  Refresing
Pekalongan,44 th,Pria,165,65,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Cirebon,42,Pria,171,84,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),kesehatan
Pekalongan,32,Pria,165,60,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),cari keringat
Surabaya,22,Pria,167,95,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga
Surabaya,25,Pria,167,85,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olaharaga atau untuk menghilangkan penat
Surabaya,48,Wanita,160,60,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Santai
jombang,24,Pria,164,68,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),diajak teman
Samarinda,34,Pria,176,86,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga
Surabaya,48,Pria,178,74,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Bakar kalori
Surabaya,30,Pria,170,90,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Berolahraga tapi kena PPKM level max
Surabaya,33,Pria,175,75,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),mencari pasangan hidup
Surabaya,37,Pria,180,85,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),"mencari keringat, olahraga santai"
Surabaya,28,Pria,176,65,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Keliling santai
Surabaya,33,Wanita,167,63,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga dan transportasi
Pekalongan,19,Pria,178,93,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),"Sebagai hobby, sekaligus olahraga utk membakar kalori dalam tubuh"
BATANG,22 tahun,Wanita,152 cm,43 kg,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Untuk meningkatkan daya tahan otot 
Comal,19,Wanita,155,40,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Berolahraga
Batang ,20,Pria,159,65,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Agar badan sehat 
Pekalongan,18,Wanita,160,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Tidak ada transportasi lain
Pekalongan,20,Pria,170,57,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),"Refresing, hobi mengisi hari libur dan kumpul bareng komunitas. "
Surabaya,40 thn,Wanita,165 cm,56 kg,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Berolahraga untuk menjaga kesehatan
Pekalongan,52 tahun,Pria,160 cm,55 kg,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Menjaga fisik tetap bugar
Madura,30 tahun,Pria,180cm,78kg,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),Bersenang senang dan untuk menguji ketahanan fisik (strength)
Kota Pekalongan,54,Pria,155,50,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),menjaga kesehatan
Pekalongan,39,Pria,170,65,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),Olah raga & refresing
Surabaya,37 jalan,Pria,172,78,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),"Happy foto2, makan enak, tidur enak"
Surabaya,40,Pria,175,80,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Main dengan anak
Kabupaten pekalongan,20,Wanita,155,52,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga dan mengisi waktu luang
Pekalongan,19,Wanita,158,49,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga
Surabaya,28,Pria,165,78,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olahraga
Batang,32,Pria,164,55,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Berolahraga
Pekalongan,50,Pria,170,85,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Menggembirakan diri sendiri
Pekalongan,18 tahun 8 bulan,Wanita,154,32,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),"Refreshing, olahraga"
Kab. Pekalongan,52,Pria,155,65,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Cari keringat sambil nambah wawasan
Kab. Pekalongan,55,Wanita,155,49,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Agar badan sehat
Samarinda,35,Pria,172,85,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Hobi
SAMARINDA,48,Pria,172,74,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olah raga buat kesehatan
Samarinda,34,Pria,165,77,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),berolahraga
Tangerang,58,Pria,170,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olah raga
Samarinda,50,Pria,171,55,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),Olah Raga dan cari spot Foto
samarinda,40,Pria,165,57,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),untuk menjaga kesehatan sekaligus refresing cuci mata melihat pemandangan
Surabaya,44,Wanita,159,52,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),untuk olahraga bersama keluarga
Pekalongan,18,Wanita,155,45,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),"Menjaga kesehatan paru paru, menyalurkan hobi, dan bersosialisasi dengan orang seperhobian"
Pekalongan,19,Wanita,154,42,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),olahraga dan keliling kota
